Domain,Model,Coherence,NPMI,U_Mass
academy,BERTopic,0.8911820408069726,0.2692443078946717,2.0435055374055042
academy,VAE,0.8779588152663876,0.07002174221584202,2.579755037161767
academy,LowBERTopic,0.914544286330541,0.1455811693909793,1.9458122171877998
media,BERTopic,0.9147218033119483,0.08146466024406578,2.824075790111014
media,VAE,0.9357056123239024,0.013144923398074994,2.462964108148694
media,LowBERTopic,0.9397273676262962,0.11089537900302712,2.2101348842711577
news,BERTopic,0.9084144040942193,0.3124172929297598,2.3618582315154355
news,VAE,0.9261405499445068,0.052202191336073324,3.2755723557865997
news,LowBERTopic,0.9178128414683872,0.1512367390233329,2.6794169995756327
